batch_size,train_seed,best_epoch,best_val_loss,val_accuracy_at_best_loss,fit_seconds
16,123,22,0.00014256725262384862,1.0,2573.3962485000084
16,456,23,0.0007595500792376697,1.0,2575.1099588000216
16,789,23,0.0002498362446203828,1.0,2559.4219462000183
4,123,19,0.0003632110601756722,1.0,3243.0517733999877
4,456,22,0.0007845480577088892,1.0,3115.037788000016
4,789,19,0.0010772071545943618,0.9995412826538086,3114.0991234999965
8,123,19,0.001276652910746634,0.9995412826538086,2830.651487199997
8,456,23,0.0004582919063977897,1.0,2660.131786300015
8,789,23,0.0006545087671838701,1.0,2657.2233091000235
